GeneID	log2FoldChange	p_adj
AT1G01010	-0.3608692491088013	0.21186623988760075
AT1G01020	-0.1469562545884989	0.6894453597224139
AT1G01030	-0.4367287871156286	0.50346663125874
AT1G01040	-0.010167929140000611	0.9784871397914813
AT1G01050	-0.12274540912993813	0.5882461148584006
AT1G01060	0.23446518731646432	0.6879431607100438
AT1G01070	-0.4248978934903258	0.3499386245097384
AT1G01080	-0.2748106502252642	0.09333078898394304
AT1G01090	-0.18543092291006788	0.5320337704225165
AT1G01100	0.10913640398436546	0.6411231624418448
AT1G01110	0.06971960079294315	0.9478252164872994
AT1G01120	0.5797231136139664	0.0010531011556804096
AT1G01130	2.120490132307393	5.989602941300499e-7
AT1G01140	0.621606217940366	3.58200059066562e-5
AT1G01160	0.19246649359169654	0.4594277236866654
AT1G01170	0.1549676737039391	0.5552278788204588
AT1G01180	1.1966569713086568	3.3473179444130707e-4
AT1G01190	-0.29605911912369487	0.5804047498834414
AT1G01200	-0.7344066927609361	0.3920508523159283
AT1G01210	-0.3475178472067899	0.21223594125587242
AT1G01220	-0.27648231181474076	0.21961976118399434
AT1G01225	1.1493179660163408	5.508930188542294e-5
AT1G01230	0.05963455813968034	0.8673205872780626
AT1G01240	-0.20638494241352395	0.7041155630584347
AT1G01250	-0.5277184064492558	0.6932370614738826
AT1G01260	1.654821054893469	3.9752700077827022e-28
AT1G01290	-0.18552294636102834	0.5751374925658193
AT1G01300	-0.1733377331167372	0.7096180321752301
AT1G01320	-0.36404962818774206	0.25926714775709003
AT1G01340	2.3572103854626363	5.549308826108828e-38
AT1G01350	0.4079194170339734	0.03717214762266243
AT1G01360	-0.16812561182214528	0.6925408366734278
AT1G01370	-0.04721539360188726	0.943411152336264
AT1G01380	-0.04095911482732542	0.9753275456509851
AT1G01420	-0.40269515090586694	0.332048325199412
AT1G01430	-0.6111100028984143	4.501019598689422e-4
AT1G01440	1.6683779807767138	4.79631021872724e-25
AT1G01448	-0.26365877236784946	0.38626071792006106
AT1G01453	-0.05082129750272516	0.9721767151602035
AT1G01470	0.8042867861468102	7.31345498850695e-4
AT1G01480	3.450629199448371	2.171312233384531e-9
AT1G01490	-0.11702521809861505	0.7451103164343057
AT1G01500	-0.4377920279880436	0.024308031681809786
AT1G01510	-0.025092721972125413	0.9354993434127352
AT1G01540	0.5658527635318461	4.718072388803285e-5
AT1G01550	1.0013686615620723	1.2042711543558584e-21
AT1G01560	6.544034680783229	1.0561873614364634e-134
AT1G01570	0.6606691893142526	0.3545420886667387
AT1G01580	-0.20260099849794647	0.9220265143169637
AT1G01600	-0.1472171664070639	0.8288614126863728
AT1G01610	-0.35870187282979443	0.2568550495756235
AT1G01620	-0.037490334480206285	0.9433757509447892
AT1G01630	0.13891669848140192	0.659956362125774
AT1G01640	0.15451942078842337	0.7616558158572647
AT1G01650	0.7593955971222933	4.348834099411575e-8
AT1G01660	0.2043992233789198	0.7389906383612581
AT1G01670	0.06951891763987866	0.9350299297409554
AT1G01690	0.14816670547727567	0.7916878580812333
AT1G01700	-1.0380086535649258	0.3564093672518433
AT1G01710	0.035927880316060756	0.9172589200425431
AT1G01720	0.5230967820033499	0.028047246577195147
AT1G01725	0.2725602462450159	0.47401293844909287
AT1G01730	-0.14164748802422686	0.6932370614738826
AT1G01740	0.06622508073503654	0.8980349332117821
AT1G01750	0.2057664273700862	0.5620593427690687
AT1G01760	0.009055198241328416	0.9910271791165969
AT1G01770	0.041836105210641676	0.9127755447049118
AT1G01780	-0.03335221096036701	0.9361880234592572
AT1G01790	-0.019948852893500096	0.966101536377244
AT1G01800	0.0516013659059131	0.850413969691403
AT1G01810	-0.047115492562592426	0.9712518147592057
AT1G01820	0.09752570760801844	0.676871439604192
AT1G01830	-0.44406465116886185	0.11092732904623753
AT1G01840	-0.056740415355989775	0.976413060864668
AT1G01860	-0.9388480060259888	1.2236677131110107e-5
AT1G01880	-0.22930348970852074	0.8495982327652805
AT1G01900	0.30976522458361144	0.7063638150968252
AT1G01910	-0.026124776581804753	0.9354993434127352
AT1G01920	0.04728032537411231	0.9001245308104403
AT1G01930	0.07422416308366173	0.8387428182869323
AT1G01940	-0.0026991795296310993	0.99528928128072
AT1G01950	1.409686277489032	2.7016657663650255e-23
AT1G01960	-0.21197230444529386	0.6320179970904507
AT1G01970	-0.34210028663628894	0.03309917398639212
AT1G01990	-0.178784054242306	0.48619622089856357
AT1G02000	-0.03482159367963194	0.9552158033657314
AT1G02010	-0.33521851758403653	0.27240709432704735
AT1G02020	-0.1091749611911018	0.8629979410858528
AT1G02050	-0.2873514673445628	0.49150506087320944
AT1G02060	-0.42373132497997956	0.2531852713130285
AT1G02080	-0.09246800678248228	0.7735788412422053
AT1G02090	-0.05107608013927664	0.8638495124221555
AT1G02100	0.2598633721935642	0.2669886068010571
AT1G02110	0.44092508734653724	0.07224852026948564
AT1G02120	0.16578458842798424	0.37762894280743536
AT1G02130	-0.22570718689153432	0.2688964628520813
AT1G02140	0.04924785910465252	0.8673205872780626
AT1G02145	-0.18830557628315772	0.5250794136507517
AT1G02150	-0.17281582190328992	0.57650489318777
AT1G02160	0.19222979496329853	0.5447438040698956
AT1G02170	1.5133756913451843	4.5031146353139567e-23
AT1G02180	0.854761369213985	0.0026062294362887623
AT1G02190	3.9925016521368955	3.077576118684238e-5
AT1G02205	0.5342060693261749	0.654099944372258
AT1G02220	0.1209523294267198	0.7833616335302
AT1G02230	-0.38467526991609474	0.8527690225592268
AT1G02260	0.07219779900753563	0.8926347268221587
AT1G02270	0.351783594274641	0.05158169491578697
AT1G02280	0.0866389026386277	0.7575071944539723
AT1G02290	-0.2951347546251922	0.4100038213160537
AT1G02300	-0.9722941314366749	1.15105730504502e-5
AT1G02305	-0.37404873771849534	0.04574166964278593
AT1G02310	1.1554236828580056	0.2606820520369303
AT1G02330	-0.16961857753450363	0.49871523966797204
AT1G02335	0.5624787197700892	0.2328897003222664
AT1G02340	0.7216116071959842	0.4326840054716609
AT1G02350	-0.5492577273487589	0.5850408388265712
AT1G02360	4.43077075015338	2.8163048448794933e-115
AT1G02370	-0.28502118957817435	0.4660191197427949
AT1G02380	0.5852127811643888	0.2262854011095593
AT1G02390	2.150372215082641	0.0012095365354677268
AT1G02400	4.872490077668972	4.108997625703641e-135
