GeneID	log2FoldChange	p_adj
AT1G01010	-0.010990160775300758	0.9905459614405281
AT1G01020	-0.07966209763611184	0.9127276061151212
AT1G01030	-0.6920160205330149	0.1814681215707156
AT1G01040	-0.05536327091787506	0.933745203587156
AT1G01046	0.4840179290426647	0.8378206749909786
AT1G01050	-0.07071161658492285	0.8936210171008568
AT1G01060	0.3235194598622526	0.8266236825829156
AT1G01070	-0.0655150326094127	0.9544106777390065
AT1G01080	-0.12904425547749124	0.73780003924412485
AT1G01090	-0.2569217219399342	0.44625619929454435
AT1G01100	0.07469481989151718	0.8808467802076718
AT1G01110	-0.10191226009108309	0.9469570515351329
AT1G01120	0.3058549302259114	0.41851413152177613
AT1G01130	1.2442691902971867	0.0492654516671706
AT1G01140	-0.022674478932165863	0.9719666726151364
AT1G01160	0.2700064061630454	0.3497159650736706
AT1G01170	0.12163609562881923	0.8128086945077335
AT1G01180	0.7342789911068154	0.09832099506053471
AT1G01190	-0.10645746815788105	0.9306274169645892
AT1G01200	-0.2824739989937918	0.8584387987832286
AT1G01210	-0.18296128298980666	0.7835353423356862
AT1G01220	-0.14119846227838087	0.7349773187246726
AT1G01225	0.24525688935216822	0.7502511368822247
AT1G01230	0.018396514324037893	0.9777158254528743
AT1G01240	-0.2782591473930126	0.7005599336066249
AT1G01250	-0.13606637015564918	0.9592329330342352
AT1G01260	1.0573658275523299	5.302949595360381e-9
AT1G01290	-0.0985022642546132	0.8787619561517193
AT1G01300	-0.36995915015404973	0.4528413421461588
AT1G01320	-0.3588385416380911	0.252293683744982
AT1G01340	1.9676804940682948	3.817225507699137e-23
AT1G01350	0.2601521344080201	0.39169980693080714
AT1G01360	0.2833205470487165	0.5069896977996433
AT1G01370	0.08295097158134286	0.9478003526358929
AT1G01380	0.1695921674445361	0.9325740826043675
AT1G01390	-0.06741864919568145	0.9842957570699659
AT1G01420	-0.19749980769233247	0.8167665316341223
AT1G01430	-0.4518699714080804	0.05093254130239588
AT1G01440	0.7728800345765084	1.3891944928965985e-4
AT1G01448	-0.14088274076285315	0.8229815524630791
AT1G01453	-0.49214195814944856	0.7789452485422207
AT1G01470	0.11060896050644649	0.8853840679855837
AT1G01480	2.753943308935496	3.2868466651777134e-5
AT1G01490	-0.12058893575856476	0.7906480578865548
AT1G01500	-0.4304350367299782	0.033043477029190124
AT1G01510	-0.22838654077222958	0.40471169791798484
AT1G01520	0.04795713445539903	0.9893044307878216
AT1G01540	0.5250495264333956	2.1710549579907263e-4
AT1G01550	0.7246944692902278	1.1967829886348304e-8
AT1G01560	5.598401854288062	7.030366487423324e-33
AT1G01570	0.35106066019247717	0.8086385978456065
AT1G01580	-0.9619781561082398	0.6432318839291362
AT1G01600	0.02885260270376437	0.9845957934157331
AT1G01610	-0.37329109575799735	0.42868578273477864
AT1G01620	0.07298434480633732	0.9018759939272541
AT1G01630	0.1237619594972392	0.8068882749008179
AT1G01640	0.10601281701304378	0.9198767028757783
AT1G01650	0.2178311454908203	0.3669331073166935
AT1G01660	0.2787756039525283	0.7425368513221902
AT1G01670	0.010585181085739713	0.993488797644965
AT1G01680	2.1623538660443704	0.07546490283745992
AT1G01690	0.2605247352893031	0.6847474139812127
AT1G01700	-0.23810547411732122	0.9004245792379999
AT1G01710	-0.015607130679855249	0.9811973829492048
AT1G01720	0.31115504464156696	0.3636160237041297
AT1G01725	0.1218407495783519	0.8732994964552995
